CurrentTime ,Temperature (°C),Humidity (%),Pressure (hPa)
----------------------------------------------------
2025-09-10 16:28:30,22.00,78.00,974.00
2025-09-10 16:28:30,38.00,78.00,974.00
2025-09-10 16:28:30,38.00,78.00,1078.00
2025-09-10 16:28:31,21.00,78.00,1078.00
2025-09-10 16:28:32,21.00,78.00,1078.00
2025-09-10 16:28:32,39.00,78.00,1078.00
2025-09-10 16:28:32,39.00,78.00,1006.00
2025-09-10 16:28:33,18.00,78.00,1006.00
2025-09-10 16:28:34,18.00,78.00,1063.00
2025-09-10 16:28:34,25.00,78.00,1063.00
2025-09-10 16:28:35,25.00,65.00,1063.00
2025-09-10 16:28:35,36.00,65.00,1063.00
2025-09-10 16:28:36,36.00,50.00,1063.00
2025-09-10 16:28:36,36.00,50.00,1095.00
2025-09-10 16:28:36,22.00,50.00,1095.00
2025-09-10 16:28:37,27.00,50.00,1095.00
2025-09-10 16:28:38,27.00,32.00,1095.00
2025-09-10 16:28:38,26.00,32.00,1095.00
2025-09-10 16:28:38,26.00,32.00,1002.00
2025-09-10 16:28:39,21.00,32.00,1002.00
2025-09-10 16:28:40,21.00,20.00,1002.00
2025-09-10 16:28:40,38.00,20.00,1002.00
2025-09-10 16:28:40,38.00,20.00,982.00
2025-09-10 16:28:41,38.00,20.00,982.00
2025-09-10 16:28:42,38.00,93.00,982.00
2025-09-10 16:28:42,37.00,93.00,982.00
2025-09-10 16:28:42,37.00,93.00,917.00
2025-09-10 16:28:43,31.00,93.00,917.00
2025-09-10 16:28:44,31.00,27.00,917.00
2025-09-10 16:28:44,35.00,27.00,917.00
2025-09-10 16:28:44,35.00,27.00,980.00
2025-09-10 16:28:45,17.00,27.00,980.00
2025-09-10 16:28:46,17.00,58.00,980.00
2025-09-10 16:28:46,30.00,58.00,980.00
2025-09-10 16:28:46,30.00,58.00,959.00
2025-09-10 16:28:47,17.00,58.00,959.00
2025-09-10 16:28:48,17.00,82.00,959.00
2025-09-10 16:28:48,15.00,82.00,959.00
